Index,fine,year_incident,year_enforcement,persons_affected,type_pd,industry,type,ownership,section,extent,fault,knowledge,appointment,admission,voluntary,remedial,meaningful_engagement,cooperativeness,aggravating,mitigation,enforcement_action
1,50000,2,0,317000,1,9,0,2,"11, 12, 24",3,1,1,0,0,0,1,0,0,1,0,3
2,10000,2,0,317000,1,5,0,2,24,1,1,1,0,0,0,1,0,0,1,0,3
3,10000,2,0,66000,0,7,1,1,24,1,1,1,2,0,0,1,1,1,0,1,3
4,5000,2,0,2981,0,8,1,2,24,1,1,1,2,0,0,1,0,2,0,0,3
5,0,3,0,37,0,9,0,2,"12(a), 13, 18, 20",4,0,1,0,0,0,1,0,2,0,1,1
6,0,2,0,30,1,7,0,2,13,1,1,1,2,0,0,1,0,1,0,1,0
7,0,2,0,165306,0,5,0,2,24,1,0,1,2,0,0,1,1,1,0,1,0
8,0,2,0,165306,0,5,0,2,24,1,0,1,2,0,0,1,0,1,0,1,0
9,0,1,0,445,1,0,1,2,24,1,0,1,2,0,0,1,0,2,0,1,0
10,0,3,0,1,0,5,0,2,24,1,0,1,2,0,0,1,0,2,0,1,0
11,0,3,0,214,1,7,0,1,24,1,1,1,2,1,2,1,1,1,0,1,0
12,0,3,0,1,1,3,1,2,"13, 14, 15, 20, 18",5,0,0,2,0,0,1,0,2,0,1,0
13,0,3,0,195,1,3,1,2,24,1,0,1,2,1,2,1,1,1,0,1,0
14,5000,3,0,195,1,2,0,2,24,1,1,1,2,1,2,1,0,1,1,0,2
15,0,3,0,1,0,6,0,2,24,1,0,0,2,0,0,1,0,2,0,1,0
16,500,2,0,1,0,3,0,0,13,1,1,0,0,0,0,0,0,0,0,0,2
17,3000,2,0,1,0,0,0,2,"11, 12, 24",3,1,0,0,0,0,0,0,0,1,0,3
18,1000,2,0,1,0,5,0,2,"11, 12, 24",3,1,1,0,0,0,1,0,0,0,1,3
19,25000,4,0,8022,1,2,0,2,24,1,1,1,2,1,2,0,0,1,1,0,2
20,0,2,0,1,0,5,0,2,24,1,1,1,2,0,0,1,0,1,0,1,0
21,3000,4,0,190,0,0,0,2,24,1,1,1,2,0,0,1,0,1,0,1,2
22,3000,2,0,1,0,0,0,2,24,1,1,1,2,0,0,1,0,0,1,0,3
23,0,4,0,1,0,6,0,2,"13, 24",2,0,0,2,0,0,1,0,1,0,1,0
24,0,2,0,1,1,7,0,1,"11, 13, 20",3,1,1,2,0,0,0,0,1,0,1,0
25,5000,2,0,1,0,0,0,2,24,1,1,1,2,0,1,0,0,0,1,0,3
26,3000,2,0,1,0,5,0,2,24,1,1,1,2,0,1,0,0,0,1,0,3
27,10000,3,1,1765,0,4,1,2,24,1,1,1,1,1,0,1,0,1,1,1,3
28,10000,3,1,30000,1,0,1,2,24,1,1,1,2,0,0,1,0,2,1,1,2
29,0,3,1,1,1,1,0,2,"13, 20",2,1,1,2,0,0,0,0,2,0,0,0
30,10000,4,1,2780000,1,5,0,2,24,1,1,1,2,1,2,1,0,1,1,0,3
31,0,4,1,143,0,7,0,1,24,1,1,1,1,0,0,1,1,1,1,1,1
32,0,4,1,1,0,1,1,2,24,1,1,1,2,0,0,0,0,2,0,0,1
33,0,4,1,1,0,0,0,2,24,1,1,1,0,0,0,0,0,2,0,1,1
34,0,4,1,1,1,0,0,2,24,1,1,1,0,0,0,1,0,1,0,1,0
35,3000,4,1,2,1,2,0,2,24,1,1,0,1,0,2,0,0,2,0,1,2
36,0,3,1,1,0,4,0,2,24,1,1,1,2,0,0,1,0,1,0,1,0
37,15000,3,1,24913,0,4,0,2,24,1,1,1,1,0,0,1,0,1,1,1,3
38,1000,4,2,12,1,3,0,0,24,1,1,1,2,1,0,0,0,2,0,1,2
39,6000,4,2,2,1,3,0,2,24,1,1,1,2,1,0,1,1,1,1,0,2
40,0,4,2,1,0,1,0,2,"11(3), 12(a), 13",3,1,1,0,1,0,0,0,1,1,0,1
41,18000,4,2,713,1,2,0,2,"24, 25",2,1,1,2,0,0,0,0,0,1,0,3
42,10000,4,2,96,1,8,0,1,24,1,1,1,2,1,0,1,1,1,1,1,2
43,10000,4,2,108085,0,1,0,2,24,1,1,1,2,0,0,1,0,1,0,1,2
44,6000,0,3,30990,1,2,0,0,"13, 20",2,1,1,2,1,1,0,0,1,1,1,2
45,0,4,3,2,0,0,0,2,12(a),1,1,1,2,1,2,0,0,1,0,0,1
46,30000,5,3,3,1,3,0,2,24,1,1,1,2,1,2,1,1,1,1,1,2
47,6000,4,3,2609,1,5,0,2,"13, 18",2,1,1,2,0,0,1,1,1,1,1,2
48,5000,5,3,297,0,9,0,1,24,1,1,1,2,0,0,1,0,1,1,1,2
49,12500,5,3,719,0,7,0,2,"13, 16(4), 18",3,1,1,2,0,0,0,0,1,1,1,3
50,9000,4,3,136,0,3,0,2,24,1,1,0,2,1,2,1,1,1,1,1,2
51,0,5,3,32,1,8,0,1,"12(a), 12(c), 24",3,1,1,2,1,1,0,0,1,1,1,1
52,10000,4,3,214,1,3,0,2,24,1,1,1,2,1,2,1,0,1,1,1,2
53,0,5,3,28,1,2,0,2,24,1,1,0,2,1,2,1,1,1,1,1,0
54,0,1,3,405,0,0,0,2,24,1,1,1,2,0,0,1,0,1,0,1,0
55,0,4,3,4,1,7,0,2,"13, 18",2,1,1,2,1,0,1,1,1,1,1,1
56,0,5,3,72,1,9,0,2,24,1,1,0,2,0,0,0,0,2,0,1,1
57,30000,5,3,782,1,9,0,2,"11, 12, 24",3,1,1,0,1,0,1,0,0,1,1,3
58,0,4,3,100,1,9,0,1,"12(a), 24",2,1,1,2,0,0,1,0,1,1,1,1
59,0,6,3,31,1,4,0,2,24,1,1,1,2,1,0,1,0,2,1,1,0
60,0,6,3,23,0,0,0,2,24,1,1,1,2,0,0,1,0,2,0,1,0
61,0,6,3,1,1,3,0,2,"18(a), 24",2,1,1,2,0,0,1,0,2,1,1,0
62,6000,5,3,20,1,1,0,2,24,1,1,1,2,1,2,1,0,1,1,1,2
63,7000,5,3,11,1,9,0,2,"12(a), 13, 18",3,1,1,2,0,1,1,0,1,1,1,3
64,0,6,3,1,1,9,0,0,13,1,1,1,2,0,0,1,0,2,1,1,0
65,20000,5,3,2472,1,5,0,2,24,1,1,1,2,0,0,1,0,1,1,1,2
66,0,6,3,10,1,6,0,2,24,1,1,1,2,1,0,0,0,2,1,1,1
67,6000,5,2,1906,1,3,0,2,24,1,0,1,1,1,2,1,1,1,0,1,3
68,30000,5,2,4000,1,3,0,2,24,1,0,1,2,0,2,1,1,1,1,1,2
69,11000,5,3,2300,0,0,0,2,"12(a), 24, 26",3,0,1,2,1,0,0,0,0,0,0,3
70,5000,4,3,87,0,2,0,2,24,1,0,1,2,0,2,1,0,1,0,1,2
71,250000,6,3,1660000,1,8,0,2,24,1,0,1,1,1,0,1,0,1,1,1,3
72,750000,6,3,1660000,1,5,0,2,24,1,0,0,1,1,0,1,0,1,1,1,3
73,150000,5,3,14104,1,0,1,2,24,1,0,1,2,1,0,1,0,2,1,1,2
74,0,6,3,50,1,5,0,0,24,1,1,1,0,1,0,1,0,2,0,0,0
75,0,5,3,20,1,8,0,1,24,1,1,0,2,1,0,1,0,2,0,1,0
76,8000,5,3,2,1,5,0,2,"12, 24",2,1,1,2,0,0,0,0,0,0,0,3
77,0,5,3,1,1,1,0,0,13,1,1,1,2,1,0,1,0,0,0,1,0
78,4000,6,3,426,0,0,0,2,24,1,0,1,1,0,2,1,1,1,0,1,2
79,30000,5,3,2792,0,5,0,2,24,1,0,1,1,1,1,1,0,1,1,0,2
80,0,6,3,10,0,0,0,2,"13, 18",2,1,1,0,0,0,1,0,1,0,0,0
81,0,6,3,2,0,1,0,2,24,1,0,1,2,0,0,0,0,2,0,0,1
82,16000,6,3,120747,0,1,0,2,24,1,0,1,2,1,2,1,0,1,0,1,2
83,33000,6,3,2100,1,6,0,2,"12, 24",2,0,1,2,1,2,1,1,1,1,1,2
84,6000,6,3,21,0,5,0,2,24,1,0,1,2,0,2,1,0,1,1,1,2
85,0,6,3,1,0,5,0,2,12,1,0,1,0,1,0,0,0,1,0,1,0
86,10000,5,3,245,1,3,1,2,24,1,0,1,2,0,2,1,1,1,0,1,2
87,0,7,3,2,1,5,0,2,24,1,0,1,1,1,0,0,0,1,0,0,1
88,20000,5,3,148,0,0,0,2,"11(3), 12(a), 12(d)(i), 24, 26",5,0,0,0,0,0,1,0,1,0,1,3
89,5000,6,3,1,0,5,0,2,"11(3), 12",2,1,0,0,0,0,0,0,0,0,0,3
90,24000,5,3,1358,1,3,1,2,24,1,0,1,1,0,2,1,1,1,1,1,3
91,18000,5,3,1358,1,2,1,2,24,1,0,0,2,0,2,1,0,1,1,1,2
92,5000,5,3,4899,0,1,0,2,"11(3), 12",2,0,1,0,0,0,0,0,1,0,1,3
93,16000,6,3,360,1,0,0,2,24,1,0,1,0,1,2,1,1,1,1,1,2
94,54000,5,3,300000,1,1,0,2,"11(3), 12(a), 24",3,0,0,0,1,0,1,0,1,1,1,2
95,0,5,3,9,0,1,0,2,24,1,0,0,2,0,0,1,0,1,0,0,1
96,0,5,3,240,0,3,0,2,24,1,0,1,2,0,2,1,0,0,0,1,0
97,5000,6,3,367,1,6,0,2,"11(3), 12",2,0,0,0,1,1,1,0,1,0,1,2
98,60000,4,3,47800,1,5,0,2,24,1,0,1,2,0,1,1,0,0,1,1,2
99,10000,6,3,1568,1,2,0,2,"11(3), 12, 24, 25",4,0,1,0,1,0,0,0,0,0,1,3
100,48000,2,3,22658,1,5,0,2,"13, 20",2,1,1,2,0,0,0,0,0,1,0,3
101,10000,2,3,21458,1,3,0,0,"13, 20",2,1,1,2,0,0,0,0,0,1,0,3
102,0,5,3,250928,1,7,0,2,24,1,0,1,2,1,2,1,0,1,0,1,0
103,1000,5,3,152,0,7,0,0,"12, 24",2,0,1,2,1,0,1,0,1,0,1,3
104,25000,5,3,330000,0,5,1,2,24,1,0,1,2,1,0,1,0,2,0,1,3
105,4000,6,3,292,1,5,0,2,24,1,0,1,2,0,2,1,0,1,0,1,3
106,7000,6,3,292,1,1,0,2,24,1,0,1,2,1,0,1,0,2,1,1,3
107,15000,5,3,1077,1,9,0,2,"12, 24",2,0,1,2,0,0,1,0,1,0,1,3
108,90000,2,3,1262861,0,1,0,2,24,1,1,1,2,1,0,1,0,1,1,1,3
109,7000,6,3,1,1,6,0,2,24,1,0,1,2,1,2,1,0,0,0,1,3
110,6000,6,3,3,1,6,0,2,24,1,0,1,2,1,2,1,0,2,0,1,3
111,12000,6,3,18630,1,9,0,2,24,1,0,1,0,1,2,1,1,2,0,1,3
112,34000,5,3,149172,0,2,0,2,"24, 25",2,0,1,2,1,0,1,0,1,0,1,3
113,8000,6,3,1,0,7,0,2,24,1,0,1,2,1,2,1,0,2,0,1,3
114,10000,6,3,780,1,9,0,1,24,1,0,1,2,0,2,1,1,1,0,1,3
115,6000,6,3,134,0,8,0,2,24,1,0,1,2,0,2,1,0,1,0,1,2
116,5000,7,3,944,1,6,0,2,24,1,0,1,2,1,2,1,0,1,0,1,2
117,20000,7,3,111,1,9,0,1,"11(3), 12, 24",3,0,1,0,1,0,1,0,1,0,1,3
118,9000,6,3,750,0,5,1,2,24,1,0,1,2,0,0,1,0,1,0,1,2
119,15000,6,4,484512,0,5,1,2,24,1,0,1,2,0,0,1,0,1,0,1,2
120,15000,6,4,3628,0,6,0,2,24,1,0,1,2,0,0,1,0,1,0,1,2
121,26000,5,4,685393,1,5,0,2,24,1,0,1,2,0,2,1,1,1,0,1,2
122,0,6,4,1,0,9,0,2,"24, 12",0,1,0,2,0,1,0,0,2,0,0,1
123,0,6,4,1,0,6,0,2,24,0,1,0,2,0,1,0,0,2,0,0,1
124,16000,7,4,6004,1,9,0,2,24,1,0,1,2,0,2,1,0,1,0,1,2
125,5000,7,4,1,0,4,0,2,"11(3), 12, 24",3,0,1,0,1,2,1,0,2,0,1,2
126,0,7,4,1,0,5,0,2,24,1,1,1,2,1,2,1,0,2,0,1,1
